"p, q, n, Phi, e, k, d",n,totient,e,# holes,Transparency Percentage,
"[19, 193, 3667, 3456, 257, 219, 2945]",3667,3456,257,192,5.24,
"[19, 193, 3667, 3456, 65537, 41283, 2177]",3667,3456,65537,192,5.24,
"[19, 97, 1843, 1728, 257, 181, 1217]",1843,1728,257,96,5.21,
"[19, 97, 1843, 1728, 65537, 17029, 449]",1843,1728,65537,96,5.21,
"[5, 47, 235, 184, 5, 1, 37]",235,184,5,12,5.13,
"[5, 47, 235, 184, 17, 6, 65]",235,184,17,12,5.13,
"[5, 47, 235, 184, 257, 169, 121]",235,184,257,12,5.13,
"[5, 47, 235, 184, 65537, 51646, 145]",235,184,65537,12,5.13,
"[97, 113, 10961, 10752, 257, 153, 6401]",10961,10752,257,558,5.09,
"[97, 113, 10961, 10752, 65537, 34335, 5633]",10961,10752,65537,558,5.09,
"[7, 17, 119, 96, 3, 1, 128]",119,96,3,6,5.08,
"[59, 257, 15163, 14848, 257, 226, 13057]",15163,14848,257,768,5.07,
"[59, 257, 15163, 14848, 65537, 9044, 2049]",15163,14848,65537,768,5.07,
"[113, 193, 21809, 21504, 257, 205, 17153]",21809,21504,257,1102,5.05,
"[113, 193, 21809, 21504, 65537, 49936, 16385]",21809,21504,65537,1102,5.05,
"[257, 337, 86609, 86016, 257, 244, 81665]",86609,86016,257,4366,5.04,
"[257, 337, 86609, 86016, 65537, 12484, 16385]",86609,86016,65537,4366,5.04,
"[17, 337, 5729, 5376, 17, 4, 1265]",5729,5376,17,286,4.99,
"[17, 337, 5729, 5376, 257, 49, 1025]",5729,5376,257,286,4.99,
"[17, 337, 5729, 5376, 65537, 3133, 257]",5729,5376,65537,286,4.99,
"[5, 89, 445, 352, 5, 2, 141]",445,352,5,22,4.95,
"[101, 257, 25957, 25600, 257, 18, 1793]",25957,25600,257,1282,4.94,
"[101, 257, 25957, 25600, 65537, 7867, 3073]",25957,25600,65537,1282,4.94,
"[3, 41, 123, 80, 3, 1, 27]",123,80,3,6,4.92,
"[97, 449, 43553, 43008, 257, 231, 38657]",43553,43008,257,2142,4.92,
"[97, 449, 43553, 43008, 65537, 24968, 16385]",43553,43008,65537,2142,4.92,
"[13, 19, 247, 216, 5, 4, 173]",247,216,5,12,4.88,
"[13, 19, 247, 216, 17, 7, 89]",247,216,17,12,4.88,
"[13, 19, 247, 216, 257, 163, 137]",247,216,257,12,4.88,
"[13, 19, 247, 216, 65537, 5158, 17]",247,216,65537,12,4.88,
"[5, 337, 1685, 1344, 17, 16, 1265]",1685,1344,17,82,4.87,
"[5, 337, 1685, 1344, 257, 196, 1025]",1685,1344,257,82,4.87,
"[5, 337, 1685, 1344, 65537, 12532, 257]",1685,1344,65537,82,4.87,
"[193, 449, 86657, 86016, 257, 244, 81665]",86657,86016,257,4222,4.87,
"[193, 449, 86657, 86016, 65537, 12484, 16385]",86657,86016,65537,4222,4.87,
"[17, 59, 1003, 928, 17, 5, 273]",1003,928,17,48,4.79,
"[17, 59, 1003, 928, 257, 18, 65]",1003,928,257,48,4.79,
"[17, 59, 1003, 928, 65537, 13630, 193]",1003,928,65537,48,4.79,
"[17, 101, 1717, 1600, 17, 8, 753]",1717,1600,17,82,4.78,
"[17, 101, 1717, 1600, 257, 31, 193]",1717,1600,257,82,4.78,
"[17, 101, 1717, 1600, 65537, 60335, 1473]",1717,1600,65537,82,4.78,
"[17, 353, 6001, 5632, 17, 10, 3313]",6001,5632,17,286,4.77,
"[3, 337, 1011, 672, 17, 15, 593]",1011,672,17,48,4.75,
"[3, 337, 1011, 672, 257, 135, 353]",1011,672,257,48,4.75,
"[3, 337, 1011, 672, 65537, 25064, 257]",1011,672,65537,48,4.75,
"[7, 73, 511, 432, 17, 12, 305]",511,432,17,24,4.71,
"[7, 73, 511, 432, 257, 210, 353]",511,432,257,24,4.71,
"[7, 73, 511, 432, 65537, 2579, 17]",511,432,65537,24,4.71,
"[3, 43, 129, 84, 3, 1, 140]",129,84,3,6,4.69,
"[3, 43, 129, 84, 5, 1, 17]",129,84,5,6,4.69,
"[3, 43, 129, 84, 17, 1, 5]",129,84,17,6,4.69,
"[3, 43, 129, 84, 257, 52, 17]",129,84,257,6,4.69,
"[3, 43, 129, 84, 65537, 3901, 5]",129,84,65537,6,4.69,
"[5, 353, 1765, 1408, 17, 6, 497]",1765,1408,17,82,4.65,
"[7, 37, 259, 216, 5, 4, 173]",259,216,5,12,4.65,
"[7, 37, 259, 216, 17, 7, 89]",259,216,17,12,4.65,
"[7, 37, 259, 216, 257, 163, 137]",259,216,257,12,4.65,
"[7, 37, 259, 216, 65537, 5158, 17]",259,216,65537,12,4.65,
"[13, 37, 481, 432, 5, 2, 173]",481,432,5,22,4.58,
"[13, 37, 481, 432, 17, 12, 305]",481,432,17,22,4.58,
"[13, 37, 481, 432, 257, 210, 353]",481,432,257,22,4.58,
"[13, 37, 481, 432, 65537, 2579, 17]",481,432,65537,22,4.58,
"[109, 257, 28013, 27648, 257, 188, 20225]",28013,27648,257,1282,4.58,
"[109, 257, 28013, 27648, 65537, 46121, 19457]",28013,27648,65537,1282,4.58,
"[5, 97, 485, 384, 5, 1, 77]",485,384,5,22,4.55,
"[7, 19, 133, 108, 3, 1, 144]",133,108,3,6,4.55,
"[7, 19, 133, 108, 5, 3, 65]",133,108,5,6,4.55,
"[7, 19, 133, 108, 17, 14, 89]",133,108,17,6,4.55,
"[7, 19, 133, 108, 257, 69, 29]",133,108,257,6,4.55,
"[7, 19, 133, 108, 65537, 10316, 17]",133,108,65537,6,4.55,
"[3, 353, 1059, 704, 17, 12, 497]",1059,704,17,48,4.54,
"[37, 97, 3589, 3456, 257, 219, 2945]",3589,3456,257,162,4.52,
"[37, 97, 3589, 3456, 65537, 41283, 2177]",3589,3456,65537,162,4.52,
"[3, 89, 267, 176, 5, 4, 141]",267,176,5,12,4.51,
"[37, 193, 7141, 6912, 257, 238, 6401]",7141,6912,257,322,4.51,
"[37, 193, 7141, 6912, 65537, 53410, 5633]",7141,6912,65537,322,4.51,
"[11, 97, 1067, 960, 17, 2, 113]",1067,960,17,48,4.5,
"[17, 29, 493, 448, 5, 3, 269]",493,448,5,22,4.47,
"[67, 257, 17219, 16896, 257, 74, 4865]",17219,16896,257,768,4.46,
"[67, 257, 17219, 16896, 65537, 57597, 14849]",17219,16896,65537,768,4.46,
"[13, 73, 949, 864, 17, 6, 305]",949,864,17,42,4.43,
"[13, 73, 949, 864, 257, 105, 353]",949,864,257,42,4.43,
"[13, 73, 949, 864, 65537, 34058, 449]",949,864,65537,42,4.43,
"[17, 109, 1853, 1728, 17, 3, 305]",1853,1728,17,82,4.43,
"[17, 109, 1853, 1728, 257, 181, 1217]",1853,1728,257,82,4.43,
"[17, 109, 1853, 1728, 65537, 17029, 449]",1853,1728,65537,82,4.43,
"[5, 101, 505, 400, 5, 1, 560]",505,400,5,22,4.37,
"[5, 101, 505, 400, 17, 15, 353]",505,400,17,22,4.37,
"[5, 101, 505, 400, 257, 124, 193]",505,400,257,22,4.37,
"[5, 101, 505, 400, 65537, 44729, 273]",505,400,65537,22,4.37,
"[23, 193, 4439, 4224, 257, 39, 641]",4439,4224,257,192,4.33,
"[23, 193, 4439, 4224, 65537, 33777, 2177]",4439,4224,65537,192,4.33,
"[23, 97, 2231, 2112, 257, 78, 641]",2231,2112,257,96,4.3,
"[23, 97, 2231, 2112, 65537, 2017, 65]",2231,2112,65537,96,4.3,
"[3, 47, 141, 92, 3, 1, 31]",141,92,3,6,4.29,
"[3, 47, 141, 92, 5, 2, 37]",141,92,5,6,4.29,
"[3, 47, 141, 92, 17, 12, 65]",141,92,17,6,4.29,
"[3, 47, 141, 92, 257, 81, 29]",141,92,257,6,4.29,
"[3, 47, 141, 92, 65537, 37755, 53]",141,92,65537,6,4.29,
"[257, 401, 103057, 102400, 257, 133, 52993]",103057,102400,257,4366,4.24,
"[257, 401, 103057, 102400, 65537, 18351, 28673]",103057,102400,65537,4366,4.24,
"[11, 13, 143, 120, 3, 1, 160]",143,120,3,6,4.23,
"[17, 67, 1139, 1056, 17, 8, 497]",1139,1056,17,48,4.22,
"[17, 67, 1139, 1056, 257, 156, 641]",1139,1056,257,48,4.22,
"[17, 67, 1139, 1056, 65537, 4034, 65]",1139,1056,65537,48,4.22,
"[71, 257, 18247, 17920, 257, 246, 17153]",18247,17920,257,768,4.21,
"[71, 257, 18247, 17920, 65537, 20601, 5633]",18247,17920,65537,768,4.21,
"[7, 41, 287, 240, 5, 1, 288]",287,240,5,12,4.2,
"[17, 401, 6817, 6400, 17, 2, 753]",6817,6400,17,286,4.2,
"[17, 401, 6817, 6400, 257, 72, 1793]",6817,6400,257,286,4.2,
"[17, 401, 6817, 6400, 65537, 31468, 3073]",6817,6400,65537,286,4.2,
"[5, 29, 145, 112, 3, 2, 75]",145,112,3,6,4.17,
"[73, 97, 7081, 6912, 257, 238, 6401]",7081,6912,257,294,4.15,
"[73, 97, 7081, 6912, 65537, 53410, 5633]",7081,6912,65537,294,4.15,
"[3, 97, 291, 192, 5, 2, 77]",291,192,5,12,4.14,
"[13, 41, 533, 480, 5, 1, 576]",533,480,5,22,4.14,
"[73, 193, 14089, 13824, 257, 119, 6401]",14089,13824,257,582,4.13,
"[73, 193, 14089, 13824, 65537, 26705, 5633]",14089,13824,65537,582,4.13,
"[5, 401, 2005, 1600, 17, 8, 753]",2005,1600,17,82,4.09,
"[5, 401, 2005, 1600, 257, 31, 193]",2005,1600,257,82,4.09,
"[5, 401, 2005, 1600, 65537, 60335, 1473]",2005,1600,65537,82,4.09,
"[5, 59, 295, 232, 5, 2, 93]",295,232,5,12,4.08,
"[5, 59, 295, 232, 17, 3, 41]",295,232,17,12,4.08,
"[5, 59, 295, 232, 257, 72, 65]",295,232,257,12,4.08,
"[5, 59, 295, 232, 65537, 54520, 193]",295,232,65537,12,4.08,
"[5, 109, 545, 432, 5, 2, 173]",545,432,5,22,4.04,
"[5, 109, 545, 432, 17, 12, 305]",545,432,17,22,4.04,
"[5, 109, 545, 432, 257, 210, 353]",545,432,257,22,4.04,
"[5, 109, 545, 432, 65537, 2579, 17]",545,432,65537,22,4.04,
"[13, 23, 299, 264, 5, 1, 53]",299,264,5,12,4.03,
"[13, 23, 299, 264, 17, 15, 233]",299,264,17,12,4.03,
"[13, 23, 299, 264, 257, 110, 113]",299,264,257,12,4.03,
"[13, 23, 299, 264, 65537, 16136, 65]",299,264,65537,12,4.03,
"[3, 401, 1203, 800, 17, 16, 753]",1203,800,17,48,3.99,
"[3, 401, 1203, 800, 257, 62, 193]",1203,800,257,48,3.99,
"[3, 401, 1203, 800, 65537, 55133, 673]",1203,800,65537,48,3.99,
"[17, 71, 1207, 1120, 17, 9, 593]",1207,1120,17,48,3.98,
"[17, 71, 1207, 1120, 257, 81, 353]",1207,1120,257,48,3.98,
"[17, 71, 1207, 1120, 65537, 1931, 33]",1207,1120,65537,48,3.98,
"[3, 101, 303, 200, 5, 1, 320]",303,200,5,12,3.97,
"[3, 101, 303, 200, 17, 13, 153]",303,200,17,12,3.97,
"[3, 101, 303, 200, 257, 248, 193]",303,200,257,12,3.97,
"[3, 101, 303, 200, 65537, 23921, 73]",303,200,65537,12,3.97,
"[257, 433, 111281, 110592, 257, 47, 20225]",111281,110592,257,4366,3.92,
"[257, 433, 111281, 110592, 65537, 60683, 102401]",111281,110592,65537,4366,3.92,
"[5, 31, 155, 120, 3, 1, 160]",155,120,3,6,3.9,
"[5, 113, 565, 448, 5, 3, 269]",565,448,5,22,3.9,
"[7, 353, 2471, 2112, 257, 78, 641]",2471,2112,257,96,3.89,
"[7, 353, 2471, 2112, 65537, 2017, 65]",2471,2112,65537,96,3.89,
"[11, 449, 4939, 4480, 257, 213, 3713]",4939,4480,257,192,3.89,
"[11, 449, 4939, 4480, 65537, 16867, 1153]",4939,4480,65537,192,3.89,
"[17, 433, 7361, 6912, 17, 5, 2033]",7361,6912,17,286,3.89,
"[17, 433, 7361, 6912, 257, 238, 6401]",7361,6912,257,286,3.89,
"[17, 433, 7361, 6912, 65537, 53410, 5633]",7361,6912,65537,286,3.89,
"[7, 89, 623, 528, 17, 16, 497]",623,528,17,24,3.86,
"[7, 89, 623, 528, 257, 55, 113]",623,528,257,24,3.86,
"[7, 89, 623, 528, 65537, 8068, 65]",623,528,65537,24,3.86,
"[11, 113, 1243, 1120, 17, 9, 593]",1243,1120,17,48,3.86,
"[11, 113, 1243, 1120, 257, 81, 353]",1243,1120,257,48,3.86,
"[11, 113, 1243, 1120, 65537, 1931, 33]",1243,1120,65537,48,3.86,
"[233, 257, 59881, 59392, 257, 185, 42753]",59881,59392,257,2310,3.86,
"[233, 257, 59881, 59392, 65537, 2261, 2049]",59881,59392,65537,2310,3.86,
"[3, 53, 159, 104, 3, 1, 35]",159,104,3,6,3.8,
"[5, 433, 2165, 1728, 17, 3, 305]",2165,1728,17,82,3.79,
"[5, 433, 2165, 1728, 257, 181, 1217]",2165,1728,257,82,3.79,
"[5, 433, 2165, 1728, 65537, 17029, 449]",2165,1728,65537,82,3.79,
"[17, 233, 3961, 3712, 17, 14, 3057]",3961,3712,17,150,3.79,
"[17, 233, 3961, 3712, 257, 133, 1921]",3961,3712,257,150,3.79,
"[17, 233, 3961, 3712, 65537, 36176, 2049]",3961,3712,65537,150,3.79,
"[79, 257, 20303, 19968, 257, 201, 15617]",20303,19968,257,768,3.78,
"[79, 257, 20303, 19968, 65537, 33612, 10241]",20303,19968,65537,768,3.78,
"[11, 29, 319, 280, 5, 1, 336]",319,280,5,12,3.77,
"[11, 29, 319, 280, 17, 2, 33]",319,280,17,12,3.77,
"[11, 29, 319, 280, 257, 67, 73]",319,280,257,12,3.77,
"[11, 29, 319, 280, 65537, 7724, 33]",319,280,65537,12,3.77,
"[41, 97, 3977, 3840, 17, 9, 2033]",3977,3840,17,150,3.77,
"[7, 23, 161, 132, 3, 1, 176]",161,132,3,6,3.75,
"[7, 23, 161, 132, 5, 2, 53]",161,132,5,6,3.75,
"[7, 23, 161, 132, 17, 13, 101]",161,132,17,6,3.75,
"[7, 23, 161, 132, 257, 220, 113]",161,132,257,6,3.75,
"[7, 23, 161, 132, 65537, 32272, 65]",161,132,65537,6,3.75,
"[17, 449, 7633, 7168, 17, 3, 1265]",7633,7168,17,286,3.75,
"[17, 19, 323, 288, 5, 3, 173]",323,288,5,12,3.73,
"[3, 433, 1299, 864, 17, 6, 305]",1299,864,17,48,3.7,
"[3, 433, 1299, 864, 257, 105, 353]",1299,864,257,48,3.7,
"[3, 433, 1299, 864, 65537, 34058, 449]",1299,864,65537,48,3.7,
"[3, 109, 327, 216, 5, 4, 173]",327,216,5,12,3.68,
"[3, 109, 327, 216, 17, 7, 89]",327,216,17,12,3.68,
"[3, 109, 327, 216, 257, 163, 137]",327,216,257,12,3.68,
"[3, 109, 327, 216, 65537, 5158, 17]",327,216,65537,12,3.68,
"[5, 449, 2245, 1792, 17, 12, 1265]",2245,1792,17,82,3.65,
"[13, 89, 1157, 1056, 17, 8, 497]",1157,1056,17,42,3.63,
"[13, 89, 1157, 1056, 257, 156, 641]",1157,1056,257,42,3.63,
"[13, 89, 1157, 1056, 65537, 4034, 65]",1157,1056,65537,42,3.63,
"[5, 233, 1165, 928, 17, 5, 273]",1165,928,17,42,3.61,
"[5, 233, 1165, 928, 257, 18, 65]",1165,928,257,42,3.61,
"[5, 233, 1165, 928, 65537, 13630, 193]",1165,928,65537,42,3.61,
"[83, 257, 21331, 20992, 257, 210, 17153]",21331,20992,257,768,3.6,
"[83, 257, 21331, 20992, 65537, 27177, 8705]",21331,20992,65537,768,3.6,
"[5, 67, 335, 264, 5, 1, 53]",335,264,5,12,3.59,
"[5, 67, 335, 264, 17, 15, 233]",335,264,17,12,3.59,
"[5, 67, 335, 264, 257, 110, 113]",335,264,257,12,3.59,
"[5, 67, 335, 264, 65537, 16136, 65]",335,264,65537,12,3.59,
"[17, 79, 1343, 1248, 17, 12, 881]",1343,1248,17,48,3.58,
"[17, 79, 1343, 1248, 257, 132, 641]",1343,1248,257,48,3.58,
"[17, 79, 1343, 1248, 65537, 13496, 257]",1343,1248,65537,48,3.58,
"[3, 449, 1347, 896, 17, 7, 369]",1347,896,17,48,3.57,
"[7, 193, 1351, 1152, 17, 13, 881]",1351,1152,17,48,3.56,
"[3, 113, 339, 224, 5, 1, 45]",339,224,5,12,3.55,
"[29, 41, 1189, 1120, 17, 9, 593]",1189,1120,17,42,3.54,
"[29, 41, 1189, 1120, 257, 81, 353]",1189,1120,257,42,3.54,
"[29, 41, 1189, 1120, 65537, 1931, 33]",1189,1120,65537,42,3.54,
"[13, 353, 4589, 4224, 257, 39, 641]",4589,4224,257,162,3.53,
"[13, 353, 4589, 4224, 65537, 33777, 2177]",4589,4224,65537,162,3.53,
"[17, 37, 629, 576, 5, 4, 461]",629,576,5,22,3.5,
"[3, 233, 699, 464, 17, 10, 273]",699,464,17,24,3.44,
"[3, 233, 699, 464, 257, 36, 65]",699,464,257,24,3.44,
"[3, 233, 699, 464, 65537, 27260, 193]",699,464,65537,24,3.44,
"[3, 59, 177, 116, 3, 1, 39]",177,116,3,6,3.41,
"[3, 59, 177, 116, 5, 4, 93]",177,116,5,6,3.41,
"[3, 59, 177, 116, 17, 6, 41]",177,116,17,6,3.41,
"[3, 59, 177, 116, 257, 144, 65]",177,116,257,6,3.41,
"[3, 59, 177, 116, 65537, 43503, 77]",177,116,65537,6,3.41,
"[89, 97, 8633, 8448, 257, 148, 4865]",8633,8448,257,294,3.41,
"[89, 97, 8633, 8448, 65537, 49657, 6401]",8633,8448,65537,294,3.41,
"[17, 83, 1411, 1312, 17, 11, 849]",1411,1312,17,48,3.4,
"[17, 83, 1411, 1312, 257, 19, 97]",1411,1312,257,48,3.4,
"[17, 83, 1411, 1312, 65537, 41610, 833]",1411,1312,65537,48,3.4,
"[5, 71, 355, 280, 5, 1, 392]",355,280,5,12,3.39,
"[5, 71, 355, 280, 17, 2, 33]",355,280,17,12,3.39,
"[5, 71, 355, 280, 257, 67, 73]",355,280,257,12,3.39,
"[5, 71, 355, 280, 65537, 7724, 33]",355,280,65537,12,3.39,
"[89, 193, 17177, 16896, 257, 74, 4865]",17177,16896,257,582,3.39,
"[89, 193, 17177, 16896, 65537, 57597, 14849]",17177,16896,65537,582,3.39,
"[149, 257, 38293, 37888, 257, 33, 4865]",38293,37888,257,1282,3.35,
"[149, 257, 38293, 37888, 65537, 1773, 1025]",38293,37888,65537,1282,3.35,
"[3, 61, 183, 120, 3, 1, 200]",183,120,3,6,3.3,
"[13, 193, 2509, 2304, 17, 15, 2033]",2509,2304,17,82,3.27,
"[5, 37, 185, 144, 3, 1, 192]",185,144,3,6,3.26,
"[7, 53, 371, 312, 5, 2, 125]",371,312,5,12,3.24,
"[7, 53, 371, 312, 17, 14, 257]",371,312,17,12,3.24,
"[7, 53, 371, 312, 257, 14, 17]",371,312,257,12,3.24,
"[7, 53, 371, 312, 65537, 53984, 257]",371,312,65537,12,3.24,
"[17, 149, 2533, 2368, 17, 10, 1393]",2533,2368,17,82,3.24,
"[17, 149, 2533, 2368, 257, 14, 129]",2533,2368,257,82,3.24,
"[17, 149, 2533, 2368, 65537, 28368, 1025]",2533,2368,65537,82,3.24,
"[41, 113, 4633, 4480, 17, 15, 3953]",4633,4480,17,150,3.24,
"[41, 113, 4633, 4480, 257, 213, 3713]",4633,4480,257,150,3.24,
"[41, 113, 4633, 4480, 65537, 16867, 1153]",4633,4480,65537,150,3.24,
"[11, 17, 187, 160, 3, 2, 107]",187,160,3,6,3.23,
"[5, 137, 685, 544, 5, 1, 109]",685,544,5,22,3.22,
"[31, 193, 5983, 5760, 257, 80, 1793]",5983,5760,257,192,3.21,
"[31, 193, 5983, 5760, 65537, 64092, 5633]",5983,5760,65537,192,3.21,
"[13, 53, 689, 624, 5, 1, 125]",689,624,5,22,3.2,
"[13, 53, 689, 624, 17, 7, 257]",689,624,17,22,3.2,
"[13, 53, 689, 624, 257, 7, 17]",689,624,257,22,3.2,
"[13, 53, 689, 624, 65537, 26992, 257]",689,624,65537,22,3.2,
"[257, 281, 72217, 71680, 257, 190, 52993]",72217,71680,257,2310,3.2,
"[257, 281, 72217, 71680, 65537, 54303, 59393]",72217,71680,65537,2310,3.2,
"[31, 97, 3007, 2880, 257, 160, 1793]",3007,2880,257,96,3.19,
"[31, 97, 3007, 2880, 65537, 62647, 2753]",3007,2880,65537,96,3.19,
"[157, 257, 40349, 39936, 257, 229, 35585]",40349,39936,257,1282,3.18,
"[157, 257, 40349, 39936, 65537, 16806, 10241]",40349,39936,65537,1282,3.18,
"[97, 353, 34241, 33792, 257, 37, 4865]",34241,33792,257,1086,3.17,
"[97, 353, 34241, 33792, 65537, 61567, 31745]",34241,33792,65537,1086,3.17,
"[17, 41, 697, 640, 5, 1, 768]",697,640,5,22,3.16,
"[41, 449, 18409, 17920, 257, 246, 17153]",18409,17920,257,582,3.16,
"[41, 449, 18409, 17920, 65537, 20601, 5633]",18409,17920,65537,582,3.16,
"[53, 97, 5141, 4992, 257, 33, 641]",5141,4992,257,162,3.15,
"[53, 97, 5141, 4992, 65537, 3374, 257]",5141,4992,65537,162,3.15,
"[53, 193, 10229, 9984, 257, 145, 5633]",10229,9984,257,322,3.15,
"[53, 193, 10229, 9984, 65537, 1687, 257]",10229,9984,65537,322,3.15,
"[17, 281, 4777, 4480, 17, 15, 3953]",4777,4480,17,150,3.14,
"[17, 281, 4777, 4480, 257, 213, 3713]",4777,4480,257,150,3.14,
"[17, 281, 4777, 4480, 65537, 16867, 1153]",4777,4480,65537,150,3.14,
"[193, 353, 68129, 67584, 257, 147, 38657]",68129,67584,257,2142,3.14,
"[193, 353, 68129, 67584, 65537, 63552, 65537]",68129,67584,65537,2142,3.14,
"[17, 23, 391, 352, 5, 2, 141]",391,352,5,12,3.08,
"[19, 41, 779, 720, 17, 14, 593]",779,720,17,24,3.08,
"[19, 41, 779, 720, 257, 126, 353]",779,720,257,24,3.08,
"[19, 41, 779, 720, 65537, 53977, 593]",779,720,65537,24,3.08,
"[17, 157, 2669, 2496, 17, 6, 881]",2669,2496,17,82,3.07,
"[17, 157, 2669, 2496, 257, 66, 641]",2669,2496,257,82,3.07,
"[17, 157, 2669, 2496, 65537, 6748, 257]",2669,2496,65537,82,3.07,
"[5, 79, 395, 312, 5, 2, 125]",395,312,5,12,3.05,
"[5, 79, 395, 312, 17, 14, 257]",395,312,17,12,3.05,
"[5, 79, 395, 312, 257, 14, 17]",395,312,257,12,3.05,
"[5, 79, 395, 312, 65537, 53984, 257]",395,312,65537,12,3.05,
"[3, 67, 201, 132, 3, 1, 220]",201,132,3,6,3,
"[3, 67, 201, 132, 5, 2, 53]",201,132,5,6,3,
"[3, 67, 201, 132, 17, 13, 101]",201,132,17,6,3,
"[3, 67, 201, 132, 257, 220, 113]",201,132,257,6,3,
"[3, 67, 201, 132, 65537, 32272, 65]",201,132,65537,6,3,
"[5, 281, 1405, 1120, 17, 9, 593]",1405,1120,17,42,2.99,
"[5, 281, 1405, 1120, 257, 81, 353]",1405,1120,257,42,2.99,
"[5, 281, 1405, 1120, 65537, 1931, 33]",1405,1120,65537,42,2.99,
"[11, 73, 803, 720, 17, 14, 593]",803,720,17,24,2.99,
"[11, 73, 803, 720, 257, 126, 353]",803,720,257,24,2.99,
"[11, 73, 803, 720, 65537, 53977, 593]",803,720,65537,24,2.99,
"[13, 31, 403, 360, 5, 1, 432]",403,360,5,12,2.99,
"[13, 31, 403, 360, 17, 11, 233]",403,360,17,12,2.99,
"[13, 31, 403, 360, 257, 252, 353]",403,360,257,12,2.99,
"[13, 31, 403, 360, 65537, 42417, 233]",403,360,65537,12,2.99,
"[7, 29, 203, 168, 3, 1, 224]",203,168,3,6,2.97,
"[5, 149, 745, 592, 5, 2, 237]",745,592,5,22,2.96,
"[5, 149, 745, 592, 17, 6, 209]",745,592,17,22,2.96,
"[5, 149, 745, 592, 257, 56, 129]",745,592,257,22,2.96,
"[5, 149, 745, 592, 65537, 47935, 433]",745,592,65537,22,2.96,
"[11, 37, 407, 360, 5, 1, 432]",407,360,5,12,2.96,
"[11, 37, 407, 360, 17, 11, 233]",407,360,17,12,2.96,
"[11, 37, 407, 360, 257, 252, 353]",407,360,257,12,2.96,
"[11, 37, 407, 360, 65537, 42417, 233]",407,360,65537,12,2.96,
"[5, 41, 205, 160, 3, 2, 107]",205,160,3,6,2.94,
"[3, 137, 411, 272, 5, 2, 109]",411,272,5,12,2.93,
"[29, 97, 2813, 2688, 17, 8, 1265]",2813,2688,17,82,2.92,
"[5, 83, 415, 328, 5, 3, 197]",415,328,5,12,2.9,
"[5, 83, 415, 328, 17, 10, 193]",415,328,17,12,2.9,
"[5, 83, 415, 328, 257, 76, 97]",415,328,257,12,2.9,
"[5, 83, 415, 328, 65537, 35366, 177]",415,328,65537,12,2.9,
"[103, 257, 26471, 26112, 257, 63, 6401]",26471,26112,257,768,2.9,
"[103, 257, 26471, 26112, 65537, 48834, 19457]",26471,26112,65537,768,2.9,
"[11, 19, 209, 180, 3, 1, 240]",209,180,3,6,2.88,
"[11, 19, 209, 180, 5, 1, 216]",209,180,5,6,2.88,
"[11, 19, 209, 180, 17, 5, 53]",209,180,17,6,2.88,
"[11, 19, 209, 180, 257, 247, 173]",209,180,257,6,2.88,
"[11, 19, 209, 180, 65537, 19297, 53]",209,180,65537,6,2.88,
"[173, 257, 44461, 44032, 257, 130, 22273]",44461,44032,257,1282,2.88,
"[173, 257, 44461, 44032, 65537, 19815, 13313]",44461,44032,65537,1282,2.88,
"[257, 313, 80441, 79872, 257, 243, 75521]",80441,79872,257,2310,2.87,
"[257, 313, 80441, 79872, 65537, 8403, 10241]",80441,79872,65537,2310,2.87,
"[3, 281, 843, 560, 17, 1, 33]",843,560,17,24,2.85,
"[3, 281, 843, 560, 257, 162, 353]",843,560,257,24,2.85,
"[3, 281, 843, 560, 65537, 3862, 33]",843,560,65537,24,2.85,
"[7, 241, 1687, 1440, 17, 7, 593]",1687,1440,17,48,2.85,
"[7, 241, 1687, 1440, 257, 63, 353]",1687,1440,257,48,2.85,
"[7, 241, 1687, 1440, 65537, 59757, 1313]",1687,1440,65537,48,2.85,
"[3, 71, 213, 140, 3, 1, 47]",213,140,3,6,2.83,
"[3, 71, 213, 140, 5, 1, 224]",213,140,5,6,2.83,
"[3, 71, 213, 140, 17, 4, 33]",213,140,17,6,2.83,
"[3, 71, 213, 140, 257, 134, 73]",213,140,257,6,2.83,
"[3, 71, 213, 140, 65537, 15448, 33]",213,140,65537,6,2.83,
"[7, 61, 427, 360, 5, 1, 432]",427,360,5,12,2.82,
"[7, 61, 427, 360, 17, 11, 233]",427,360,17,12,2.82,
"[7, 61, 427, 360, 257, 252, 353]",427,360,257,12,2.82,
"[7, 61, 427, 360, 65537, 42417, 233]",427,360,65537,12,2.82,
"[17, 313, 5321, 4992, 17, 3, 881]",5321,4992,17,150,2.82,
"[17, 313, 5321, 4992, 257, 33, 641]",5321,4992,257,150,2.82,
"[17, 313, 5321, 4992, 65537, 3374, 257]",5321,4992,65537,150,2.82,
"[5, 157, 785, 624, 5, 1, 125]",785,624,5,22,2.81,
"[5, 157, 785, 624, 17, 7, 257]",785,624,17,22,2.81,
"[5, 157, 785, 624, 257, 7, 17]",785,624,257,22,2.81,
"[5, 157, 785, 624, 65537, 26992, 257]",785,624,65537,22,2.81,
"[5, 43, 215, 168, 3, 1, 224]",215,168,3,6,2.8,
"[17, 173, 2941, 2752, 17, 9, 1457]",2941,2752,17,82,2.79,
"[17, 173, 2941, 2752, 257, 24, 257]",2941,2752,257,82,2.79,
"[17, 173, 2941, 2752, 65537, 54892, 2305]",2941,2752,65537,82,2.79,
