"p, q, n, Phi, e, k, d",n,totient,e,# holes,Transparency Percentage,
"[3, 53, 159, 104, 17, 8, 49]",159,104,17,12,7.59,
"[3, 53, 159, 104, 257, 42, 17]",159,104,257,12,7.59,
"[3, 53, 159, 104, 65537, 30878, 49]",159,104,65537,12,7.59,
"[41, 97, 3977, 3840, 257, 120, 1793]",3977,3840,257,294,7.39,
"[41, 97, 3977, 3840, 65537, 30601, 1793]",3977,3840,65537,294,7.39,
"[41, 193, 7913, 7680, 257, 60, 1793]",7913,7680,257,582,7.36,
"[41, 193, 7913, 7680, 65537, 48069, 5633]",7913,7680,65537,582,7.36,
"[5, 61, 305, 240, 5, 1, 336]",305,240,5,22,7.24,
"[5, 61, 305, 240, 17, 8, 113]",305,240,17,22,7.24,
"[5, 61, 305, 240, 257, 121, 113]",305,240,257,22,7.24,
"[5, 61, 305, 240, 65537, 30857, 113]",305,240,65537,22,7.24,
"[5, 17, 85, 64, 3, 2, 43]",85,64,3,6,7.14,
"[7, 97, 679, 576, 17, 9, 305]",679,576,17,48,7.08,
"[241, 257, 61937, 61440, 257, 136, 32513]",61937,61440,257,4366,7.05,
"[241, 257, 61937, 61440, 65537, 30585, 28673]",61937,61440,65537,4366,7.05,
"[3, 29, 87, 56, 3, 1, 19]",87,56,3,6,6.98,
"[17, 241, 4097, 3840, 17, 9, 2033]",4097,3840,17,286,6.98,
"[17, 241, 4097, 3840, 257, 120, 1793]",4097,3840,257,286,6.98,
"[17, 241, 4097, 3840, 65537, 30601, 1793]",4097,3840,65537,286,6.98,
"[43, 257, 11051, 10752, 257, 153, 6401]",11051,10752,257,768,6.95,
"[43, 257, 11051, 10752, 65537, 34335, 5633]",11051,10752,65537,768,6.95,
"[5, 241, 1205, 960, 17, 2, 113]",1205,960,17,82,6.81,
"[5, 241, 1205, 960, 257, 223, 833]",1205,960,257,82,6.81,
"[5, 241, 1205, 960, 65537, 56867, 833]",1205,960,65537,82,6.81,
"[7, 13, 91, 72, 3, 1, 96]",91,72,3,6,6.67,
"[3, 241, 723, 480, 17, 4, 113]",723,480,17,48,6.65,
"[3, 241, 723, 480, 257, 189, 353]",723,480,257,48,6.65,
"[3, 241, 723, 480, 65537, 48197, 353]",723,480,65537,48,6.65,
"[3, 61, 183, 120, 5, 1, 192]",183,120,5,12,6.59,
"[3, 61, 183, 120, 17, 16, 113]",183,120,17,12,6.59,
"[3, 61, 183, 120, 257, 242, 113]",183,120,257,12,6.59,
"[3, 61, 183, 120, 65537, 61714, 113]",183,120,65537,12,6.59,
"[17, 43, 731, 672, 17, 15, 593]",731,672,17,48,6.58,
"[17, 43, 731, 672, 257, 135, 353]",731,672,257,48,6.58,
"[17, 43, 731, 672, 65537, 25064, 257]",731,672,65537,48,6.58,
"[137, 257, 35209, 34816, 257, 240, 32513]",35209,34816,257,2310,6.56,
