"p, q, n, Phi, e, k, d",N,Totient,E,Transparency Percentage
"[5, 17, 85, 64, 2687, 2645, 63]",85,64,2687,7.14
"[5, 17, 85, 64, 2689, 42, 1]",85,64,2689,97.62
"[5, 17, 85, 64, 2693, 547, 13]",85,64,2693,26.19
"[5, 17, 85, 64, 2699, 1476, 35]",85,64,2699,7.14
"[5, 17, 85, 64, 2707, 1142, 27]",85,64,2707,7.14
"[5, 17, 85, 64, 2711, 1652, 39]",85,64,2711,7.14
"[5, 17, 85, 64, 2713, 1738, 41]",85,64,2713,50.0
"[5, 17, 85, 64, 2719, 1317, 31]",85,64,2719,7.14
"[5, 17, 85, 64, 2729, 1066, 25]",85,64,2729,50.0
"[5, 17, 85, 64, 2731, 128, 3]",85,64,2731,7.14
"[5, 17, 85, 64, 2741, 1242, 29]",85,64,2741,26.19
"[5, 17, 85, 64, 2749, 902, 21]",85,64,2749,26.19
"[5, 17, 85, 64, 2753, 43, 1]",85,64,2753,97.62
